Date,Value,Anomaly
195301,36.9,3.2
195401,29.9,-3.8
195501,30.0,-3.7
195601,31.3,-2.4
195701,27.8,-5.9
195801,31.1,-2.6
195901,30.5,-3.2
196001,33.1,-0.6
196101,26.4,-7.3
196201,30.9,-2.8
196301,29.4,-4.3
196401,34.9,1.2
196501,28.9,-4.8
196601,31.2,-2.5
196701,36.3,2.6
196801,25.6,-8.1
196901,30.7,-3.0
197001,24.1,-9.6
197101,25.9,-7.8
197201,34.3,0.6
197301,34.7,1.0
197401,34.4,0.7
197501,36.5,2.8
197601,26.9,-6.8
197701,21.6,-12.1
197801,27.8,-5.9
197901,31.6,-2.1
198001,32.2,-1.5
198101,25.2,-8.5
198201,25.1,-8.6
198301,33.4,-0.3
198401,28.8,-4.9
198501,27.8,-5.9
198601,33.1,-0.6
198701,31.7,-2.0
198801,28.9,-4.8
198901,36.8,3.1
199001,40.8,7.1
199101,34.3,0.6
199201,35.2,1.5
199301,35.8,2.1
199401,25.0,-8.7
199501,37.0,3.3
199601,30.8,-2.9
199701,32.4,-1.3
199801,40.3,6.6
199901,34.2,0.5
200001,31.6,-2.2
200101,33.9,0.2
200201,40.2,6.5
200301,27.8,-5.9
200401,25.0,-8.7
200501,31.6,-2.1
200601,41.1,7.4
200701,37.7,4.0
200801,36.8,3.1
200901,28.2,-5.5
201001,33.0,-0.7
201101,30.2,-3.5
201201,37.8,4.1
201301,35.6,1.9
201401,28.7,-5.0
201501,30.0,-3.7
201601,34.5,0.8
201701,38.1,4.4
201801,31.8,-1.9
